Code,Name,Beta,Sharpe,Treynor,Drawdown,HHI,StdDev
152004,LIC MF Small Cap Fund-Direct Plan-Growth,-1.336363322,1.231915224,-1.480188165,-0.298677561,0.007674807,0.101148718
149198,Aditya Birla Sun Life Nifty SDL Plus PSU Bond SEP 2026 60:40 Index Fund-Regular Growth,-0.105316894,0.521826986,-1.482007634,-0.067596439,0.003288191,0.018841769
142766,Kotak FMP Series 219-Regular Plan-Growth Option,0.003635213,-0.39432244,-1.482344203,-0.008622584,0.002818831,0.000860849
143272,Nippon India Fixed Horizon Fund XXXVII- Series 5- Growth Option,-0.336363344,1.479749501,-1.483351719,-0.088778124,0.004533198,0.02124048
143271,Nippon India Fixed Horizon Fund XXXVII- Series 6- Direct Plan- Growth Option,-0.321591048,1.472605727,-1.484089907,-0.086024183,0.004532412,0.020416317
147832,Axis Retirement Fund - Conservative Plan - Direct Growth,-0.366781376,0.929704451,-1.48425394,-0.162143416,0.002146267,0.036886743
151885,UTI Balanced Advantage Fund - Direct Plan - Growth Option,-0.530592079,1.133553105,-1.486345783,-0.140791332,0.00803919,0.04382667
143360,UTI Fixed Term Income Fund Series XXIX-III (1131 days) - Regular Plan - Growth Option,-0.318581009,1.493129718,-1.48760251,-0.083257911,0.004531897,0.019994428
143174,Nippon India Fixed Horizon Fund XXXVII- Series 3- Growth Option,-0.333071606,1.505870888,-1.488142143,-0.084051976,0.004531889,0.020734522
143361,UTI Fixed Term Income Fund Series XXIX-IV (1422 days) - Direct Plan - Growth Option,-0.309454604,1.489348981,-1.489241487,-0.081652175,0.004531451,0.019492401
141993,Nippon India Fixed Horizon Fund XXXV- Series 9- Direct Plan-Growth Option,0.005263447,-0.365348529,-1.489479465,-0.021611002,0.002424495,0.001351752
143172,Nippon India Fixed Horizon Fund XXXVII- Series 4- Direct Plan- Growth Option,-0.319206477,1.499422339,-1.489601556,-0.081492687,0.00453122,0.019976416
151129,HSBC Balanced Advantage Fund - Direct Growth,-0.438613332,0.81245299,-1.48967589,-0.148993326,0.005142262,0.050661157
147641,SBI Fixed Maturity Plan (FMP) - Series 17 (1116 Days) - Regular Plan - Growth,0.011855091,-0.873349595,-1.490415657,-0.028655344,0.00114294,0.001274453
120674,UTI Aggressive Hybrid Fund -Direct Plan - Growth,-0.755173188,0.988877514,-1.495805983,-0.323230624,0.002230491,0.071957995
147790,SBI Fixed Maturity Plan (FMP) - Series 26 (1112 Days) - Direct Plan - Growth,0.012150713,-0.819262294,-1.496079735,-0.032165142,0.001063064,0.001397762
150929,ICICI Prudential Nifty Pharma Index Fund - Growth,-1.16250231,1.143245181,-1.496746671,-0.273493667,0.005525859,0.09587436
150792,LIC MF Nifty Next 50 Index Fund-Regular Plan-Growth,-0.169100338,0.611281163,-1.497888313,-0.089071331,0.004963109,0.026102531
150727,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Direct Plan - Growth,-0.121215956,0.514237629,-1.500664179,-0.071725413,0.00496061,0.022283283
146940,Aditya Birla Sun Life Retirement Fund-The 40s Plan-Regular Plan-Growth,-0.259052422,0.919777316,-1.502895975,-0.102259736,0.002116086,0.02666451
101872,HDFC Dynamic Debt Fund - Growth Option,-0.268275317,1.041377253,-1.503185616,-0.081132832,0.002111081,0.02439411
150344,Tata Nifty India Digital ETF Fund of Fund-Direct Plan-Growth,-0.858390908,1.025270698,-1.503966628,-0.255155077,0.004124441,0.079320326
106317,Invesco India Balanced Advantage Fund - Growth,-0.460664233,0.877328745,-1.504096777,-0.244255587,0.002131848,0.049750522
150732,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund - Growth,-0.16711008,0.65504628,-1.505005411,-0.081326283,0.004937533,0.024186245
144284,Kotak FMP Series 235 - Direct Plan - Growth option,0.00474185,-0.262592905,-1.506451018,-0.022411435,0.002400152,0.00171364
141070,Quantum ELSS Tax Saver Fund - Regular Plan Growth Option,-0.755937616,0.946462474,-1.508328983,-0.394344205,0.00223184,0.075888918
151812,Mirae Asset Multicap Fund - Regular Plan - Growth,-0.874845656,1.346184431,-1.508477443,-0.191882174,0.008093656,0.061754047
141698,UTI Capital Protection Oriented Scheme Series IX-III ( 1389 Days) - Direct Plan - Growth Option,-0.213444153,1.281610824,-1.509358313,-0.064215938,0.006950045,0.015835077
120333,Invesco India Balanced Advantage Fund - Direct Plan - Growth,-0.509124095,0.927400287,-1.512165812,-0.250918339,0.002146929,0.052294446
147345,ICICI Prudential MNC Fund - Growth Option,-0.932529095,1.117637527,-1.514859359,-0.385703064,0.002252204,0.079622069
130721,Invesco India Credit Risk Fund - Regular Plan - Growth,-0.192727741,0.804750583,-1.518670383,-0.097978706,0.002111386,0.022911113
147872,SBI Fixed Maturity Plan (FMP) - Series 27 (1203 Days) - Direct Plan - Growth,0.0127249,-1.000347913,-1.518719494,-0.028599412,0.000979062,0.001216972
144555,HSBC Fixed Term Series 136 - Direct Plan Growth Option,0.004975493,-0.428046746,-1.519311248,-0.014972054,0.002269992,0.001112478
100550,Franklin India Equity Hybrid Fund - Growth Plan,-0.666359182,0.998423958,-1.519399797,-0.313760259,0.002184706,0.063880041
152019,LIC MF Dividend Yield Fund-Regular Plan-Growth,-1.355321439,1.369155604,-1.519439299,-0.301335654,0.007681791,0.094748553
147135,SBI Fixed Maturity Plan (FMP) - Series 28 (1163 Days) - Regular Plan - Growth,0.011628642,-0.914824955,-1.521087721,-0.025876158,0.001234126,0.001217994
150777,Aditya Birla Sun Life Crisil IBX Gilt-Apr 2029 Index Fund-Regular Growth,-0.137539159,0.553091931,-1.521635372,-0.076767254,0.004961733,0.023836329
109275,quant Focused Fund - Growth Option - Regular Plan,-0.943999096,1.071884882,-1.523418941,-0.371197735,0.002288136,0.084516696
147661,ICICI Prudential Commodities Fund - Growth Option,-1.582596816,1.319551629,-1.524896111,-0.508679245,0.002403463,0.115208332
133036,Kotak Equity Hybrid - Growth,-0.737557713,1.009525588,-1.527114811,-0.346833479,0.002201919,0.070282969
147627,SBI Fixed Maturity Plan (FMP) - Series 16 (1116 Days) - Regular Plan - Growth,0.011389198,-0.863657722,-1.528160906,-0.0282423,0.001158795,0.001269464
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,-0.77698245,0.970472586,-1.528535501,-0.396229649,0.002242715,0.077090914
103312,ICICI Prudential Exports & Services Fund - Growth,-0.89117199,1.072693736,-1.535101849,-0.364196556,0.00228014,0.080338313
150703,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Regular Growth,-0.122711837,0.51786724,-1.535293785,-0.073001071,0.00496092,0.022917078
118546,Franklin India Equity Hybrid Fund - Direct - Growth,-0.702189947,1.033879273,-1.538209704,-0.31831027,0.00219925,0.065811237
102000,HDFC Top 100 Fund - Growth Option - Regular Plan,-0.651869236,0.808846153,-1.538320293,-0.352092549,0.002245634,0.078098206
118486,BANDHAN Asset Allocation Fund Of Fund-Conservative Plan-Direct Plan-Growth,-0.238733923,0.801296219,-1.538567678,-0.120997692,0.002124899,0.028876023
150930,ICICI Prudential Nifty Pharma Index Fund - Direct Plan - Growth,-1.168926888,1.164681192,-1.53901886,-0.277257403,0.005533732,0.097302491
147670,SBI Fixed Maturity Plan (FMP) - Series 19 (1115 Days) - Direct  Plan - Growth,0.012352526,-0.914655197,-1.540280519,-0.029692124,0.001111195,0.001310382
147405,Shriram Balanced Advantage Fund - Regular Growth,-0.403405861,0.957107949,-1.540472207,-0.196487223,0.002124152,0.04090109
101070,quant Absolute Fund - Growth Option - Regular Plan,-1.09579552,1.231951653,-1.541996461,-0.391891899,0.002281358,0.086401039
150733,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund - Direct Plan - Growth,-0.168961928,0.663860633,-1.542011755,-0.082931252,0.0049381,0.024722897
147406,Shriram Balanced Advantage Fund - Direct Growth,-0.471981135,1.024577243,-1.54254608,-0.206519254,0.002143293,0.044762858
119018,HDFC Top 100 Fund - Growth Option - Direct Plan,-0.673362117,0.830457818,-1.546847628,-0.351126254,0.002255603,0.079009328
141068,Quantum Long Term Equity Value Fund - Regular Plan Growth Option,-0.746774343,0.948132895,-1.547715148,-0.397482325,0.002232263,0.076791108
147346,ICICI Prudential MNC Fund - Direct Plan - Growth Option,-0.978114617,1.161513618,-1.548293103,-0.392307692,0.002273832,0.082133126
135120,Axis Equity Savings Fund - Direct Plan - Growth,-0.458516854,1.04361572,-1.54845662,-0.207230471,0.002117912,0.042856181
141700,UTI Capital Protection Oriented Scheme Series IX-II ( 1462 Days) - Regular Plan - Growth Option,-0.228586605,1.319384733,-1.548545996,-0.067089829,0.006950847,0.01690064
132995,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Growth,-0.379285269,0.964730863,-1.549654702,-0.202226345,0.002100691,0.038379072
119256,SBI Retirement Benefit Fund - Conservative Plan - Regular Plan - Growth,-0.320800517,0.936199825,-1.551231054,-0.151458621,0.002130031,0.033484416
152022,LIC MF Dividend Yield Fund-Direct Plan-Growth,-1.38738088,1.400864105,-1.551654148,-0.306753523,0.007691734,0.096804234
135122,Axis Equity Savings Fund - Regular Plan - Growth,-0.411589836,1.001789367,-1.553250351,-0.200825309,0.002106249,0.040200311
120688,ICICI Prudential Exports & Services Fund - Direct Plan - Growth,-0.906955035,1.091897534,-1.553588129,-0.366503049,0.002290194,0.081290444
133035,Kotak Equity Hybrid - Growth - Direct,-0.784302662,1.055340091,-1.554022504,-0.352336677,0.002222513,0.072752561
147662,ICICI Prudential Commodities Fund - Direct Plan - Growth Option,-1.627252941,1.359776627,-1.556947745,-0.513713862,0.002429385,0.117371123
151146,HSBC Medium Duration Fund - Direct Growth,-0.143579005,0.570341894,-1.557940518,-0.079871509,0.005165853,0.024706218
147496,Baroda BNP Paribas Equity Savings Fund - Direct Plan - Growth,-0.350427596,0.995794005,-1.558034971,-0.151593454,0.002110257,0.034538679
150778,Aditya Birla Sun Life Crisil IBX Gilt-Apr-2029 Index Fund-Direct Growth,-0.13859707,0.560121847,-1.558132967,-0.078198123,0.004962199,0.024287107
104513,quant Large & Mid Cap Fund - Growth Option,-1.208665355,1.334136024,-1.558274689,-0.345023261,0.002356371,0.08893029
126393,DSP Dynamic Asset Allocation Fund - Direct Plan - Growth,-0.455276911,0.997131644,-1.558535599,-0.243957978,0.002117287,0.044826991
151746,WhiteOak Capital Multi Asset Allocation Fund Regular Plan Growth,-0.479070071,0.972638618,-1.559885534,-0.154484667,0.006802597,0.048399402
147762,SBI Fixed Maturity Plan (FMP) - Series 23 (1106 Days) - Direct Plan - Growth,0.011888355,-0.876742607,-1.56070749,-0.031141734,0.001083716,0.001333125
147864,Tata Quant Fund-Direct Plan-Growth,-0.449241449,0.599564887,-1.562380277,-0.315555373,0.002225474,0.07374458
120834,quant Focused Fund - Growth Option-Direct Plan,-1.007496697,1.127946141,-1.56263278,-0.378595022,0.002322558,0.087924909
126394,DSP Dynamic Asset Allocation Fund - Regular Plan - Growth,-0.403915856,0.941439612,-1.562865048,-0.235603559,0.002105866,0.042239585
151307,Aditya Birla Sun Life Multi Asset Allocation Fund-Direct Growth,-0.699115614,1.159160843,-1.564591666,-0.182150571,0.005668106,0.059443729
103024,SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth,-0.909925594,1.068738345,-1.565047472,-0.371547684,0.002264216,0.083938602
103490,Quantum Long Term Equity Value Fund - Direct Plan Growth Option,-0.766587275,0.970908448,-1.565594387,-0.399386608,0.002242304,0.07786859
112012,Edelweiss Aggressive Hybrid Fund- Plan B-Growth Option,-0.708657138,1.045799175,-1.568294535,-0.291055206,0.002214911,0.06694455
112108,Edelweiss Aggressive Hybrid Fund - Regular Plan - Growth Option,-0.707128858,1.045439227,-1.56891444,-0.291034483,0.002213711,0.066849592
147783,SBI Fixed Maturity Plan (FMP) - Series 24 (1107) - Regular Plan - Growth,0.011339896,-0.858375276,-1.569208963,-0.030306877,0.001057677,0.001305907
148489,SBI Magnum Children's Benefit Fund - Investment Plan - Direct Plan - Growth,-1.470732691,1.290422051,-1.570201042,-0.439915093,0.002708622,0.112734531
146938,Aditya Birla Sun Life Retirement Fund-The 50s Plan-Direct Plan-Growth,-0.203436271,0.861630696,-1.570759542,-0.091750717,0.002109229,0.023362357
120819,quant Absolute Fund-Growth Option-Direct Plan,-1.124160807,1.264080276,-1.571986295,-0.395242271,0.002300858,0.088064783
112327,BANDHAN Asset Allocation Fund - Regular Plan - Conservative Plan - Growth,-0.213160984,0.768369617,-1.572146621,-0.117184801,0.002120829,0.027474532
150805,HDFC Business Cycle Fund - Growth Option - Direct Plan,-0.427103426,0.631407898,-1.572247432,-0.225068471,0.005196344,0.066995197
149401,BHARAT Bond ETF FOF - April 2032 Direct Growth,-0.131626623,0.541493814,-1.572304259,-0.083501281,0.003572063,0.024076123
149399,BHARAT Bond ETF FOF - April 2032 Regular Plan Growth,-0.131626623,0.541493814,-1.572304259,-0.083501281,0.003572063,0.024076123
151810,Mirae Asset Multicap Fund - Direct Plan - Growth,-0.916274599,1.401923235,-1.573627758,-0.200924415,0.008102851,0.06478928
150702,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Direct Growth,-0.123834653,0.526485849,-1.575623599,-0.074287587,0.004961345,0.023345743
134815,Mirae Asset Aggressive Hybrid Fund - Regular Plan - Growth,-0.61334847,0.992837285,-1.575963299,-0.305381507,0.002162199,0.061330293
132998,Aditya Birla Sun Life Equity Savings Fund - Regular Plan - Growth,-0.346476257,0.937984401,-1.58180753,-0.197758734,0.002093984,0.036807069
119721,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth,-0.936272417,1.093998693,-1.582991633,-0.374405431,0.002278612,0.085342188
146551,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,-0.689182375,0.961418564,-1.583981426,-0.336659455,0.002192983,0.071527241
115944,Tata Retirement Savings Fund- Conservative Plan-Direct Plan-Growth Option,-0.273918749,0.888826447,-1.584075662,-0.144685195,0.002121841,0.030752501
120826,quant Large & Mid Cap Fund - Growth Option-Direct Plan,-1.245561644,1.357548979,-1.585599719,-0.345532698,0.00239018,0.091643783
104637,Nippon India Focused Equity Fund -Growth Plan -Growth Option,-0.779895572,0.90170369,-1.586186433,-0.405551733,0.00224368,0.086422449
152095,Edelweiss Multi Cap Fund - Regular Plan - Growth,-1.076596683,1.22371789,-1.592898687,-0.260098069,0.009305427,0.088279449
134813,Mirae Asset Aggressive Hybrid Fund - Direct Plan - Growth,-0.664064039,1.043437798,-1.593340034,-0.312312794,0.002179962,0.063878042
147494,Baroda BNP Paribas Equity Savings Fund - Regular Plan - Growth,-0.311641856,0.978966146,-1.595787037,-0.146724891,0.002102029,0.032000943
151045,HSBC Credit Risk Fund - Direct Growth,-0.114616238,0.511004491,-1.596434065,-0.07035406,0.005164075,0.022556523
145599,Groww Aggressive Hybrid Fund (formerly known as Indiabulls Equity Hybrid Fund) - Direct Plan - Growth option,-0.623436373,1.016046324,-1.597777942,-0.313065863,0.002173791,0.061758221
118692,Nippon India Focused Equity Fund - Direct Plan Growth Plan - Growth Option,-0.80377827,0.924689622,-1.59779058,-0.408098858,0.002254647,0.087490292
118624,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,-0.769584348,1.101712634,-1.59869317,-0.29928432,0.002243754,0.070348161
143162,Navi Aggressive Hybrid Fund - Regular Plan - Growth,-0.507686143,0.862471061,-1.59901082,-0.278246042,0.002150684,0.059292793
147867,Tata Quant Fund-Regular Plan-Growth,-0.406715078,0.566501385,-1.599448104,-0.318738785,0.002205676,0.072336781
152053,DSP Multi Asset Allocation Fund - Regular - Growth,-1.263950601,2.106590609,-1.600661873,-0.168707578,0.009496598,0.060499152
144992,SBI Debt Fund Series C - 24 - (1100 Days) - Regular Plan - Growth,0.008831602,-0.893119972,-1.600928266,-0.016951195,0.001778846,0.000997244
147333,SBI Fixed Maturity Plan (FMP) - Series 79 (1170 Days) - Regular Plan - Growth,0.011605414,-0.974621181,-1.601537984,-0.02610761,0.001184593,0.001201328
148490,LIC MF Children's Fund-Regular Plan-Growth,-1.509904148,1.322669851,-1.601829751,-0.447023774,0.002731641,0.115189796
